timestamp,machine_id,health_phase,fator_desgaste,temp_oleo,vibracao_motor,pressao_hidraulica,volatilidade_temp,volatilidade_vibracao,volatilidade_pressao
2025-07-22T11:58:27.357413,PH-121,0,247.47,46.17,1.54,202.86,1.0,1.0,1.0
2025-07-22T11:58:27.357753,PH-121,0,247.52,46.63,1.46,202.45,1.0,1.0,1.0
2025-07-22T11:58:27.358072,PH-121,0,247.57,46.42,1.31,202.6,1.0,1.0,1.0
2025-07-22T11:58:27.358395,PH-121,0,247.62,46.31,1.07,202.37,1.0,1.0,1.0
2025-07-22T11:58:27.358685,PH-121,0,247.67,46.59,1.23,202.14,1.0,1.0,1.0
2025-07-22T11:58:27.358972,PH-121,0,247.72,47.02,1.44,201.98,1.0,1.0,1.0
2025-07-22T11:58:27.359257,PH-121,0,247.77,46.67,1.49,202.0,1.0,1.0,1.0
2025-07-22T11:58:27.359563,PH-121,0,247.82,46.48,1.15,201.61,1.0,1.0,1.0
2025-07-22T11:58:27.359840,PH-121,0,247.87,45.98,0.83,201.49,1.0,1.0,1.0
2025-07-22T11:58:27.360116,PH-121,0,247.92,46.06,1.01,201.13,1.0,1.0,1.0
2025-07-22T11:58:27.360381,PH-121,0,247.97,46.34,1.01,200.83,1.0,1.0,1.0
2025-07-22T11:58:27.360669,PH-121,0,248.02,46.07,1.36,200.69,1.0,1.0,1.0
2025-07-22T11:58:27.360959,PH-121,0,248.07,45.76,1.76,200.67,1.0,1.0,1.0
2025-07-22T11:58:27.361260,PH-121,0,248.12,45.31,1.28,200.79,1.0,1.0,1.0
2025-07-22T11:58:27.361542,PH-121,0,248.17,45.71,0.83,200.5,1.0,1.0,1.0
2025-07-22T11:58:27.361793,PH-121,0,248.22,45.55,1.22,200.29,1.0,1.0,1.0
2025-07-22T11:58:27.362090,PH-121,0,248.27,45.24,1.59,200.16,1.0,1.0,1.0
2025-07-22T11:58:27.362341,PH-121,0,248.32,45.18,1.63,200.07,1.0,1.0,1.0
2025-07-22T11:58:27.362574,PH-121,0,248.37,44.86,1.55,199.74,1.0,1.0,1.0
2025-07-22T11:58:27.362809,PH-121,0,248.42,44.99,1.57,200.22,1.0,1.0,1.0
2025-07-22T11:58:27.363082,PH-121,0,248.47,45.39,1.5,200.62,1.0,1.0,1.0
2025-07-22T11:58:27.363366,PH-121,0,248.52,44.89,1.94,200.33,1.0,1.0,1.0
2025-07-22T11:58:27.363764,PH-121,0,248.57,44.73,1.59,199.88,1.0,1.0,1.0
2025-07-22T11:58:27.364068,PH-121,0,248.62,44.58,1.62,199.53,1.0,1.0,1.0
2025-07-22T11:58:27.743100,PH-121,0,248.67,45.02,1.47,199.62,1.0,1.0,1.0
2025-07-22T11:58:27.743466,PH-121,0,248.72,45.15,1.3,199.85,1.0,1.0,1.0
2025-07-22T11:58:27.743783,PH-121,0,248.77,45.06,0.85,199.74,1.0,1.0,1.0
2025-07-22T11:58:27.744078,PH-121,0,248.82,45.09,0.51,199.33,1.0,1.0,1.0
2025-07-22T11:58:27.744419,PH-121,0,248.87,44.89,0.74,199.13,1.0,1.0,1.0
2025-07-22T11:58:27.744767,PH-121,0,248.92,45.18,0.49,198.87,1.0,1.0,1.0
2025-07-22T11:58:27.745117,PH-121,0,248.97,45.17,0.92,199.26,1.0,1.0,1.0
2025-07-22T11:58:27.745486,PH-121,0,249.02,44.74,0.77,198.76,1.0,1.0,1.0
2025-07-22T11:58:27.746004,PH-121,0,249.07,44.43,1.18,199.09,1.0,1.0,1.0
2025-07-22T11:58:27.746396,PH-121,0,249.12,44.58,0.9,198.71,1.0,1.0,1.0
