timestamp,machine_id,health_phase,fator_desgaste,temp_oleo,vibracao_motor,pressao_hidraulica,volatilidade_temp,volatilidade_vibracao,volatilidade_pressao
2025-07-22T11:53:45.941790,PH-036,0,571.78,62.16,0.98,203.73,1.0,1.0,1.0
2025-07-22T11:53:45.941962,PH-036,0,571.83,62.39,0.65,204.11,1.0,1.0,1.0
2025-07-22T11:53:45.942172,PH-036,0,571.88,62.85,0.97,204.61,1.0,1.0,1.0
2025-07-22T11:53:45.942377,PH-036,0,571.93,63.15,0.92,204.2,1.0,1.0,1.0
2025-07-22T11:53:45.942631,PH-036,0,571.98,62.72,0.55,203.92,1.0,1.0,1.0
2025-07-22T11:53:45.942927,PH-036,0,572.03,62.57,0.15,203.94,1.0,1.0,1.0
2025-07-22T11:53:45.943136,PH-036,0,572.08,62.18,0.59,204.02,1.0,1.0,1.0
2025-07-22T11:53:45.943363,PH-036,0,572.13,61.91,0.65,203.93,1.0,1.0,1.0
2025-07-22T11:53:45.943568,PH-036,0,572.18,61.43,0.47,203.92,1.0,1.0,1.0
2025-07-22T11:53:45.943817,PH-036,0,572.23,61.38,0.64,204.42,1.0,1.0,1.0
2025-07-22T11:53:45.944027,PH-036,0,572.28,61.43,0.16,204.01,1.0,1.0,1.0
2025-07-22T11:53:45.944219,PH-036,0,572.33,61.16,0.16,203.58,1.0,1.0,1.0
2025-07-22T11:53:45.944463,PH-036,0,572.38,61.24,0.51,203.29,1.0,1.0,1.0
2025-07-22T11:53:45.944694,PH-036,0,572.43,61.49,0.99,203.62,1.0,1.0,1.0
2025-07-22T11:53:45.944876,PH-036,0,572.48,61.14,0.54,203.39,1.0,1.0,1.0
2025-07-22T11:53:45.945068,PH-036,0,572.53,60.9,0.86,203.56,1.0,1.0,1.0
2025-07-22T11:53:45.945266,PH-036,0,572.58,60.79,1.04,203.92,1.0,1.0,1.0
2025-07-22T11:53:45.945449,PH-036,0,572.63,61.11,0.91,204.04,1.0,1.0,1.0
2025-07-22T11:53:45.945631,PH-036,0,572.68,61.39,0.64,204.3,1.0,1.0,1.0
2025-07-22T11:53:45.945829,PH-036,0,572.73,61.23,0.43,204.55,1.0,1.0,1.0
2025-07-22T11:53:45.946018,PH-036,0,572.78,61.61,0.7,204.31,1.0,1.0,1.0
2025-07-22T11:53:45.946182,PH-036,0,572.83,61.23,0.22,204.09,1.0,1.0,1.0
2025-07-22T11:53:45.946368,PH-036,0,572.88,60.92,-0.06,203.59,1.0,1.0,1.0
2025-07-22T11:53:45.946571,PH-036,0,572.93,60.75,-0.16,203.82,1.0,1.0,1.0
2025-07-22T11:53:46.276630,PH-036,0,572.98,60.98,-0.13,204.28,1.0,1.0,1.0
2025-07-22T11:53:46.276837,PH-036,0,573.03,60.68,0.2,204.28,1.0,1.0,1.0
2025-07-22T11:53:46.277042,PH-036,0,573.08,60.76,0.11,204.76,1.0,1.0,1.0
2025-07-22T11:53:46.277257,PH-036,0,573.13,60.69,0.36,205.26,1.0,1.0,1.0
2025-07-22T11:53:46.277453,PH-036,0,573.18,60.51,0.36,205.55,1.0,1.0,1.0
2025-07-22T11:53:46.277625,PH-036,0,573.23,60.24,0.24,205.7,1.0,1.0,1.0
2025-07-22T11:53:46.277816,PH-036,0,573.28,59.85,0.43,205.29,1.0,1.0,1.0
2025-07-22T11:53:46.277990,PH-036,0,573.33,59.55,0.32,205.17,1.0,1.0,1.0
2025-07-22T11:53:46.278170,PH-036,0,573.38,59.57,0.81,205.5,1.0,1.0,1.0
2025-07-22T11:53:46.278367,PH-036,0,573.43,59.98,0.75,205.07,1.0,1.0,1.0
2025-07-22T11:53:46.278544,PH-036,0,573.48,60.19,0.92,204.82,1.0,1.0,1.0
2025-07-22T11:53:46.278771,PH-036,0,573.53,59.89,0.6,204.72,1.0,1.0,1.0
2025-07-22T11:53:46.278954,PH-036,0,573.58,59.8,0.24,204.88,1.0,1.0,1.0
2025-07-22T11:53:46.279143,PH-036,0,573.63,59.98,0.46,204.55,1.0,1.0,1.0
2025-07-22T11:53:46.279332,PH-036,0,573.68,59.77,0.13,204.96,1.0,1.0,1.0
2025-07-22T11:53:46.279560,PH-036,0,573.73,60.22,0.23,204.67,1.0,1.0,1.0
2025-07-22T11:53:46.279748,PH-036,0,573.78,60.2,0.09,205.17,1.0,1.0,1.0
2025-07-22T11:53:46.279981,PH-036,0,573.83,60.04,0.35,204.79,1.0,1.0,1.0
2025-07-22T11:53:46.280218,PH-036,0,573.88,60.44,0.63,204.39,1.0,1.0,1.0
2025-07-22T11:53:46.280494,PH-036,0,573.93,60.09,0.76,204.19,1.0,1.0,1.0
2025-07-22T11:53:46.280715,PH-036,0,573.98,60.57,1.19,204.46,1.0,1.0,1.0
2025-07-22T11:53:46.280949,PH-036,0,574.03,60.9,1.6,204.95,1.0,1.0,1.0
